Road_Type,Road_Condition,Vehicle_Speed,Speed_Limit,Vehicle_Type,Temperature,Humidity,Visibility,T_Junction,Crossing,Stop_Signal,Railway_Crossing,Speed_Breaker,Severity
National Highway,Wet Road,92,91,Bike,22,100,54,0,0,1,0,0,High
Expressway,Wet Road,79,92,Car,44,100,80,0,0,0,0,0,Medium
National Highway,Wet Road,48,77,Bus,26,75,75,1,1,0,0,1,Medium
Service Roads,Dry Road,20,20,Bike,19,58,71,1,0,0,0,0,Low
National Highway,Wet Road,73,79,Truck,35,60,82,0,0,0,0,0,Medium
Service Roads,Dry Road,57,48,Car,38,67,90,0,0,1,0,1,Low
Rural Roads,Dry Road,28,50,Truck,26,83,33,1,0,0,0,1,High
Service Roads,Dry Road,75,42,Bike,29,63,32,0,0,0,0,1,Medium
National Highway,Dry Road,67,96,Car,30,53,47,0,1,0,1,1,Medium
Rural Roads,Dry Road,45,47,Bike,29,71,100,0,1,0,0,1,Low
Expressway,Dry Road,88,116,Bike,33,78,69,0,1,0,0,1,Low
State Highway,Dry Road,64,83,Bike,28,38,46,0,0,0,0,0,Low
National Highway,Dry Road,68,82,Car,37,76,84,1,0,0,0,0,Low
Rural Roads,Damaged Road,20,59,Truck,18,54,93,0,1,0,0,1,Medium
Service Roads,Dry Road,34,35,Car,44,84,68,1,0,0,0,0,Medium
National Highway,Wet Road,96,97,Car,38,59,80,0,1,0,0,0,Medium
Service Roads,Dry Road,57,42,Truck,15,81,64,0,0,0,0,0,High
National Highway,Dry Road,76,80,Bike,13,57,75,1,1,1,0,1,Medium
Rural Roads,Dry Road,60,54,Bike,12,91,100,1,1,0,0,1,High
Rural Roads,Dry Road,51,50,Car,30,63,94,1,0,0,0,0,Medium
Urban Roads,Damaged Road,48,37,Car,12,100,40,0,1,1,1,0,High
Expressway,Damaged Road,112,112,Bus,20,68,58,1,1,0,0,0,Medium
National Highway,Damaged Road,64,96,Car,28,100,89,0,1,0,0,0,Medium
State Highway,Dry Road,58,90,Car,40,51,81,0,0,0,0,0,Low
Expressway,Dry Road,81,105,Bike,30,56,62,0,1,0,0,1,Low
Service Roads,Dry Road,27,42,Bike,34,60,39,0,0,0,0,0,Medium
State Highway,Wet Road,75,90,Bus,39,65,100,0,0,0,0,1,Low
Urban Roads,Dry Road,46,59,Bike,41,98,73,1,0,0,0,0,Low
National Highway,Damaged Road,55,81,Bus,45,40,100,0,0,0,0,0,Medium
Service Roads,Dry Road,22,46,Car,39,71,100,0,1,0,0,0,Low
Urban Roads,Wet Road,20,57,Truck,45,100,75,0,0,0,0,0,Low
Expressway,Dry Road,101,114,Car,28,61,90,0,0,0,0,0,Low
State Highway,Damaged Road,56,70,Car,19,59,100,0,1,0,0,1,High
Expressway,Damaged Road,95,100,Bus,23,43,85,0,1,0,0,0,Low
Rural Roads,Damaged Road,31,63,Bike,28,51,59,1,0,0,0,0,Medium
Service Roads,Dry Road,20,21,Car,38,46,100,1,0,0,0,0,Low
Urban Roads,Dry Road,52,56,Bike,20,68,72,1,0,0,1,0,Medium
Urban Roads,Damaged Road,37,51,Bike,24,43,90,0,1,1,0,1,Medium
Rural Roads,Dry Road,62,42,Bike,30,58,35,0,1,0,0,0,High
Service Roads,Dry Road,20,24,Bike,38,81,75,1,0,0,0,0,Low
State Highway,Dry Road,78,85,Car,28,47,67,0,0,0,0,0,Medium
National Highway,Dry Road,65,79,Truck,34,73,73,0,1,0,0,0,Low
National Highway,Damaged Road,65,87,Bus,33,62,84,0,0,0,0,1,Medium
Rural Roads,Dry Road,31,44,Car,24,93,100,1,0,0,0,0,Low
Rural Roads,Dry Road,47,48,Bike,26,38,96,1,0,0,0,0,Low
National Highway,Dry Road,60,70,Bike,31,81,67,0,1,1,0,0,Medium
State Highway,Damaged Road,45,66,Car,45,88,53,1,0,0,0,1,Medium
Urban Roads,Wet Road,47,35,Truck,18,66,72,0,1,1,0,1,High
Rural Roads,Wet Road,38,53,Car,22,23,65,0,0,0,0,0,Medium
Rural Roads,Dry Road,57,67,Car,30,82,47,1,1,0,0,0,Medium
National Highway,Damaged Road,68,71,Car,31,61,55,0,0,0,0,0,Medium
National Highway,Dry Road,76,75,Truck,32,56,91,0,0,0,0,0,Medium
Urban Roads,Damaged Road,31,60,Bike,29,65,53,0,0,0,0,0,Low
Urban Roads,Dry Road,83,58,Bus,39,40,40,0,0,0,1,0,High
Expressway,Dry Road,81,91,Car,37,48,89,0,0,0,0,0,Low
Expressway,Damaged Road,113,118,Car,27,66,93,0,0,0,0,0,High
Expressway,Wet Road,85,99,Car,45,82,49,0,1,0,0,1,Medium
Service Roads,Wet Road,31,37,Truck,19,51,83,0,0,0,0,0,Low
State Highway,Dry Road,82,85,Car,30,82,100,1,0,0,0,0,Low
National Highway,Wet Road,85,96,Bike,31,84,78,0,0,0,0,0,High
Expressway,Wet Road,74,90,Bike,34,64,85,1,1,1,0,0,Medium
Expressway,Dry Road,125,117,Car,23,91,97,0,0,1,0,0,Low
State Highway,Dry Road,97,80,Bike,31,80,48,0,0,1,0,0,Medium
Rural Roads,Dry Road,55,67,Car,30,77,49,0,0,0,0,1,Low
Rural Roads,Dry Road,58,64,Car,36,67,83,1,0,0,0,1,Low
Expressway,Dry Road,95,104,Truck,36,63,39,0,0,0,1,0,Low
Service Roads,Wet Road,27,36,Bike,36,51,70,0,1,0,0,0,Medium
Service Roads,Wet Road,28,44,Bike,21,100,74,1,1,0,0,0,Medium
Service Roads,Dry Road,20,26,Bike,34,100,68,0,1,0,0,0,Low
State Highway,Dry Road,75,80,Car,27,81,81,1,1,0,0,0,Low
National Highway,Dry Road,80,89,Bike,30,37,68,1,1,0,0,0,Medium
Expressway,Dry Road,54,90,Car,23,72,92,0,1,0,0,0,Low
National Highway,Wet Road,58,78,Car,23,69,82,1,0,0,0,1,High
National Highway,Dry Road,63,70,Bike,43,66,34,0,0,0,0,0,Medium
Rural Roads,Dry Road,58,47,Bike,41,21,84,1,0,0,0,0,Low
Expressway,Wet Road,60,91,Truck,34,82,100,0,0,1,0,1,Medium
Rural Roads,Dry Road,29,52,Bike,32,65,100,0,0,0,0,0,Low
Rural Roads,Damaged Road,24,57,Car,39,46,83,0,0,1,0,0,Low
Urban Roads,Dry Road,36,43,Bike,31,82,64,0,1,1,0,0,Medium
Rural Roads,Dry Road,57,47,Truck,32,52,54,0,0,0,0,0,Medium
State Highway,Damaged Road,97,83,Bike,26,63,59,1,1,0,0,0,High
Expressway,Dry Road,89,100,Bike,36,54,58,0,0,0,0,1,Medium
National Highway,Dry Road,77,72,Car,22,26,80,1,0,0,0,0,Medium
Service Roads,Dry Road,29,40,Truck,29,90,88,0,0,0,0,0,Low
Urban Roads,Damaged Road,32,53,Truck,31,55,100,0,0,0,0,1,Medium
National Highway,Dry Road,60,93,Car,19,75,96,0,0,0,0,0,Medium
Rural Roads,Dry Road,52,66,Bike,28,73,46,0,0,0,0,1,Low
Rural Roads,Wet Road,43,66,Bike,37,79,51,0,0,0,0,0,High
Service Roads,Dry Road,51,49,Bike,37,50,75,0,0,1,0,0,Low
Expressway,Wet Road,103,116,Bike,40,67,55,1,1,0,1,0,High
Urban Roads,Dry Road,45,37,Car,24,58,85,0,1,0,1,0,Medium
Rural Roads,Dry Road,25,44,Bike,37,51,76,0,1,1,0,1,Low
State Highway,Wet Road,68,84,Car,24,56,60,0,0,1,1,1,Medium
Service Roads,Dry Road,38,24,Car,21,83,63,1,0,0,1,0,Medium
Rural Roads,Dry Road,58,61,Bike,40,37,40,0,0,1,0,1,Medium
Expressway,Dry Road,98,94,Truck,24,52,58,1,0,0,0,1,Medium
Expressway,Dry Road,76,94,Car,38,84,78,1,0,0,0,0,Low
Rural Roads,Damaged Road,55,66,Bike,35,39,54,1,1,0,1,0,Medium
Rural Roads,Dry Road,94,69,Car,23,98,80,0,0,0,0,1,Low
Urban Roads,Wet Road,32,40,Bike,35,72,62,0,1,1,0,1,Medium
Expressway,Dry Road,95,99,Bike,38,76,66,0,0,0,0,0,Low
Rural Roads,Wet Road,52,52,Car,34,100,63,0,0,0,1,0,Medium
Expressway,Dry Road,88,97,Bike,32,66,95,1,1,0,0,0,Medium
Service Roads,Dry Road,57,50,Bike,43,68,76,0,1,0,1,0,Low
State Highway,Dry Road,68,87,Car,36,73,87,0,0,0,0,0,Medium
Urban Roads,Dry Road,28,34,Car,24,83,62,0,0,1,0,1,Low
Urban Roads,Dry Road,49,55,Bike,32,66,98,0,1,1,0,1,Low
Service Roads,Wet Road,48,45,Bike,25,64,78,1,0,1,0,1,Medium
National Highway,Wet Road,115,99,Bike,45,55,79,1,0,0,0,0,Medium
State Highway,Dry Road,91,89,Car,32,100,83,0,0,0,0,0,Low
Expressway,Dry Road,56,91,Car,34,55,33,0,0,1,0,1,Low
Urban Roads,Dry Road,44,49,Car,24,46,75,0,0,1,0,0,Low
Service Roads,Dry Road,20,30,Bike,26,100,71,0,0,0,0,0,Medium
National Highway,Dry Road,72,98,Car,43,76,82,1,1,0,0,1,Low
State Highway,Wet Road,69,78,Car,32,68,60,1,0,0,0,0,Medium
Service Roads,Wet Road,20,33,Bike,25,63,66,0,0,0,0,0,Low
Urban Roads,Dry Road,36,42,Truck,30,93,41,0,1,1,0,1,Medium
State Highway,Wet Road,66,90,Bike,22,32,95,1,0,0,0,0,Low
Rural Roads,Dry Road,29,41,Car,24,72,66,1,0,0,0,1,Low
Rural Roads,Dry Road,80,70,Bus,38,62,78,1,0,1,0,1,Medium
Expressway,Damaged Road,97,115,Car,38,56,60,0,1,0,0,0,Medium
Urban Roads,Dry Road,59,45,Car,13,32,70,0,0,1,0,0,Low
Urban Roads,Dry Road,35,53,Bike,26,55,91,0,1,0,0,1,Low
State Highway,Dry Road,58,70,Bike,33,71,90,0,1,0,0,0,Low
National Highway,Damaged Road,86,92,Car,24,78,68,1,1,0,0,0,Medium
Expressway,Dry Road,86,115,Car,39,32,80,0,1,0,0,1,Low
Expressway,Wet Road,63,98,Bike,26,56,82,1,1,1,0,0,Medium
National Highway,Dry Road,81,87,Bus,26,73,79,1,0,1,0,0,Low
Urban Roads,Damaged Road,34,59,Truck,32,100,61,0,1,1,0,1,High
Service Roads,Dry Road,20,40,Bike,26,31,62,0,1,0,0,0,Medium
Service Roads,Wet Road,20,21,Car,29,43,68,0,1,0,0,0,High
Urban Roads,Dry Road,20,32,Bike,21,48,60,0,0,0,0,1,Medium
National Highway,Dry Road,81,81,Truck,24,77,88,0,0,0,1,0,Medium
Service Roads,Wet Road,42,35,Car,43,96,68,0,0,1,0,1,Medium
State Highway,Damaged Road,29,61,Car,33,69,45,0,0,0,0,0,Medium
Expressway,Dry Road,81,109,Car,10,69,56,1,1,1,0,0,Medium
Urban Roads,Wet Road,57,51,Car,28,80,92,0,0,0,0,0,Medium
State Highway,Dry Road,84,82,Bus,42,20,52,0,0,0,0,0,High
Rural Roads,Damaged Road,44,46,Car,26,95,60,0,1,0,0,1,High
Rural Roads,Dry Road,43,56,Car,35,100,54,0,0,1,0,0,Low
State Highway,Dry Road,84,74,Bike,28,68,68,0,1,1,0,0,Medium
National Highway,Damaged Road,66,88,Car,27,20,48,0,0,0,0,1,High
National Highway,Dry Road,55,77,Car,42,53,65,0,0,1,1,0,Low
Rural Roads,Wet Road,42,69,Bike,25,68,68,0,0,0,0,1,Medium
Expressway,Wet Road,93,105,Bike,26,49,68,1,1,0,0,0,Low
National Highway,Dry Road,69,87,Car,36,64,84,0,0,0,0,0,Low
State Highway,Wet Road,83,85,Bike,33,50,80,0,1,0,0,0,Medium
Expressway,Dry Road,82,103,Bike,18,77,81,0,0,0,0,0,Low
National Highway,Wet Road,53,96,Bike,30,63,47,0,0,1,0,0,Medium
National Highway,Wet Road,68,82,Car,32,29,75,0,0,0,0,0,Low
National Highway,Dry Road,69,82,Truck,10,79,85,0,0,0,0,0,Medium
National Highway,Dry Road,54,81,Car,39,78,98,0,0,0,1,1,Low
Rural Roads,Wet Road,20,47,Bike,20,60,100,1,0,0,0,1,Low
State Highway,Wet Road,62,64,Bike,39,55,93,1,1,1,0,0,High
Urban Roads,Dry Road,39,36,Bike,30,29,87,1,1,1,0,0,Medium
Service Roads,Dry Road,37,29,Bike,29,32,62,0,1,0,0,0,Medium
Urban Roads,Wet Road,67,55,Bike,34,86,54,1,1,0,0,0,Low
Rural Roads,Dry Road,67,47,Bike,37,27,50,1,1,0,0,1,High
Urban Roads,Dry Road,35,40,Car,22,50,100,0,0,0,0,1,Low
State Highway,Dry Road,78,85,Bike,17,72,65,0,0,0,0,0,Medium
Rural Roads,Dry Road,74,61,Bus,22,84,59,0,0,0,0,0,Medium
Expressway,Dry Road,123,108,Bike,30,79,83,0,1,1,1,0,Medium
National Highway,Wet Road,33,73,Bike,22,78,88,1,0,1,0,0,Medium
State Highway,Dry Road,106,79,Car,23,53,42,0,0,0,0,0,Medium
Urban Roads,Dry Road,23,30,Car,45,55,83,0,0,1,0,1,Low
Rural Roads,Wet Road,76,63,Bike,15,63,70,0,0,0,0,0,Medium
Urban Roads,Dry Road,57,54,Bike,29,60,67,0,0,0,0,0,Medium
Rural Roads,Dry Road,20,52,Bike,40,73,86,0,0,0,0,0,Low
National Highway,Damaged Road,86,79,Car,19,88,71,0,0,1,0,0,Medium
Service Roads,Dry Road,53,47,Car,36,64,87,0,0,0,1,0,Medium
Urban Roads,Dry Road,21,52,Car,35,65,37,1,0,0,0,0,Low
Rural Roads,Damaged Road,42,59,Bike,31,55,87,0,1,0,0,1,Medium
Expressway,Dry Road,84,94,Bike,17,72,99,0,0,1,0,0,Low
State Highway,Damaged Road,66,73,Car,37,24,89,0,1,1,0,0,Medium
State Highway,Dry Road,51,84,Car,19,54,100,0,1,0,0,0,Low
National Highway,Dry Road,67,81,Bike,32,73,95,1,0,0,1,1,Low
Service Roads,Dry Road,48,40,Bike,27,59,64,0,0,1,1,0,High
Rural Roads,Dry Road,20,46,Car,41,93,60,0,1,1,1,0,Medium
National Highway,Damaged Road,90,90,Truck,25,50,95,0,0,0,0,0,Medium
Urban Roads,Dry Road,61,57,Bike,24,100,58,0,1,0,0,0,Medium
Urban Roads,Dry Road,28,50,Car,12,70,29,1,1,1,0,0,Medium
Urban Roads,Dry Road,38,40,Bike,18,68,84,0,0,0,1,0,Low
Service Roads,Damaged Road,55,35,Car,30,49,50,0,1,1,0,0,High
Service Roads,Wet Road,33,39,Car,24,100,90,0,0,0,0,1,Low
Rural Roads,Damaged Road,48,52,Bus,23,76,100,0,0,0,0,0,High
State Highway,Wet Road,63,81,Bike,26,68,46,0,1,0,0,0,High
Expressway,Dry Road,92,95,Car,19,83,92,1,0,0,0,0,Medium
Rural Roads,Damaged Road,41,59,Bus,37,78,80,0,0,0,0,0,Medium
Expressway,Dry Road,96,104,Bike,38,74,72,0,1,1,0,0,Low
State Highway,Dry Road,76,87,Car,45,91,100,0,0,1,0,0,Medium
Service Roads,Dry Road,27,48,Bike,41,77,60,1,1,0,0,0,Medium
Rural Roads,Dry Road,69,60,Bus,32,100,57,0,1,0,0,0,Medium
National Highway,Dry Road,66,74,Truck,31,30,94,1,1,0,0,0,Medium
Rural Roads,Dry Road,68,48,Bus,35,83,56,0,0,0,0,1,Medium
Expressway,Dry Road,73,102,Bike,18,26,84,0,0,0,0,0,Medium
Expressway,Dry Road,82,94,Truck,33,62,100,0,0,0,0,0,Low
National Highway,Damaged Road,66,73,Bike,17,100,77,1,0,0,0,0,Medium
Expressway,Dry Road,134,119,Bike,43,34,83,0,1,0,0,0,Medium
Service Roads,Wet Road,24,40,Car,30,78,85,0,0,0,0,0,Low
Service Roads,Dry Road,30,28,Bike,24,59,36,0,0,0,0,0,Medium
National Highway,Dry Road,61,92,Bike,20,100,77,0,0,0,0,0,Low
National Highway,Dry Road,93,85,Car,37,70,47,0,0,0,0,0,Medium
State Highway,Dry Road,52,70,Bike,31,68,78,0,0,0,0,1,Low
Expressway,Dry Road,88,113,Car,28,49,75,1,1,0,0,0,Low
Expressway,Wet Road,85,108,Car,33,94,77,0,0,0,0,0,Low
Rural Roads,Dry Road,42,45,Car,24,83,100,0,0,0,0,1,Low
Expressway,Dry Road,64,92,Bike,32,33,60,0,0,0,0,0,Low
Service Roads,Damaged Road,20,34,Truck,26,55,31,0,0,1,0,0,Medium
Expressway,Dry Road,124,118,Car,24,93,55,1,1,0,0,1,Low
Service Roads,Dry Road,41,23,Truck,29,45,100,1,1,0,0,0,Medium
Expressway,Dry Road,93,109,Bus,38,34,97,1,0,0,0,0,Medium
Expressway,Wet Road,103,99,Bike,26,65,73,0,0,0,0,0,High
State Highway,Dry Road,66,89,Car,41,56,91,0,0,0,0,0,Low
Urban Roads,Wet Road,65,54,Truck,20,47,56,0,0,0,0,0,Medium
Expressway,Dry Road,131,117,Car,32,77,47,0,0,0,0,0,Medium
State Highway,Dry Road,62,73,Bike,30,63,66,0,0,0,1,0,Low
Service Roads,Dry Road,23,44,Car,20,71,84,0,1,1,0,0,Medium
State Highway,Wet Road,63,83,Bus,24,59,72,0,0,0,0,0,Low
National Highway,Damaged Road,52,83,Bike,36,56,63,0,0,0,0,0,Medium
Expressway,Wet Road,79,96,Bus,23,73,66,0,1,1,0,0,Medium
Urban Roads,Dry Road,30,33,Car,33,72,69,1,0,1,0,1,Medium
Rural Roads,Wet Road,50,43,Bike,36,60,49,0,0,0,0,1,Medium
National Highway,Dry Road,91,97,Car,30,100,65,0,1,0,0,0,Medium
Service Roads,Dry Road,20,25,Bike,19,100,60,0,1,1,1,0,Medium
Rural Roads,Wet Road,30,51,Bus,14,66,99,0,0,0,0,0,Low
Rural Roads,Dry Road,57,69,Bike,30,55,66,0,1,0,0,0,Low
National Highway,Dry Road,78,78,Bike,20,56,78,1,1,0,0,0,Medium
Rural Roads,Dry Road,60,40,Car,22,100,56,1,0,0,0,1,Medium
Rural Roads,Dry Road,36,44,Car,32,82,98,0,1,0,0,0,Low
Service Roads,Dry Road,22,24,Truck,26,61,69,0,0,0,0,0,High
State Highway,Damaged Road,93,85,Bike,24,56,81,0,0,0,0,0,Medium
State Highway,Dry Road,57,66,Car,33,82,46,0,0,1,0,1,Low
Service Roads,Dry Road,20,40,Car,14,54,70,0,0,0,0,0,Low
Service Roads,Dry Road,44,37,Bike,34,61,81,0,0,0,0,0,Low
Expressway,Damaged Road,96,91,Bus,17,64,100,0,1,0,0,0,High
Urban Roads,Damaged Road,73,59,Bus,33,86,56,1,0,0,0,0,Medium
National Highway,Dry Road,97,92,Car,12,70,85,1,0,0,0,1,Medium
Expressway,Dry Road,81,98,Bike,25,38,64,0,1,0,0,0,Low
Rural Roads,Wet Road,52,64,Bike,25,89,77,0,1,0,0,0,Low
Rural Roads,Dry Road,42,54,Car,37,58,100,1,0,0,0,1,Medium
Rural Roads,Dry Road,58,70,Car,32,40,75,0,1,0,0,1,Medium
Urban Roads,Dry Road,46,60,Bike,41,38,76,1,0,0,1,0,Low
Expressway,Wet Road,100,109,Bike,19,80,57,1,1,1,0,1,High
Urban Roads,Dry Road,65,39,Truck,24,44,83,0,0,0,0,1,Low
Service Roads,Dry Road,20,38,Car,28,84,59,0,0,0,0,0,Low
State Highway,Dry Road,45,70,Bike,10,70,48,0,0,0,0,1,Low
National Highway,Dry Road,66,70,Car,24,67,73,0,1,0,0,0,Low
Rural Roads,Dry Road,47,43,Car,33,66,100,0,0,0,0,0,Low
Service Roads,Damaged Road,21,50,Car,32,22,89,1,0,0,0,0,Medium
National Highway,Damaged Road,64,73,Bike,15,95,62,0,0,0,0,1,Medium
National Highway,Dry Road,103,95,Car,20,100,100,0,0,0,0,1,Low
Rural Roads,Wet Road,33,51,Bus,38,70,97,1,0,0,0,0,Medium
Service Roads,Dry Road,49,43,Truck,23,42,45,0,0,0,0,0,Low
Rural Roads,Damaged Road,62,49,Truck,30,65,93,0,0,0,0,1,Low
Service Roads,Wet Road,34,20,Car,30,68,49,0,0,0,0,0,High
Rural Roads,Damaged Road,42,49,Bus,26,59,95,0,0,0,0,1,High
Urban Roads,Damaged Road,35,31,Bike,32,59,78,0,0,0,0,1,Medium
Urban Roads,Damaged Road,20,46,Bus,24,74,64,0,1,0,0,0,High
Service Roads,Dry Road,71,44,Truck,18,43,96,0,1,0,0,0,Medium
National Highway,Damaged Road,87,93,Truck,15,87,51,0,0,0,0,0,High
National Highway,Dry Road,52,90,Car,23,85,48,1,1,0,0,1,High
National Highway,Wet Road,41,71,Bike,28,39,49,0,1,0,0,0,Medium
National Highway,Wet Road,85,88,Bike,45,90,54,0,1,0,0,0,Medium
Expressway,Wet Road,118,113,Car,28,66,80,1,0,0,0,0,Medium
State Highway,Dry Road,45,63,Bike,28,55,66,0,0,0,0,0,Low
Urban Roads,Damaged Road,25,31,Bike,31,61,68,0,0,0,0,0,Medium
Expressway,Wet Road,79,110,Bus,35,71,75,0,1,0,0,0,Medium
National Highway,Dry Road,100,98,Car,28,85,100,0,1,0,0,0,Medium
Rural Roads,Dry Road,24,46,Bike,29,49,33,1,0,0,0,0,Medium
National Highway,Wet Road,99,84,Truck,45,76,54,0,0,0,1,0,Medium
Expressway,Damaged Road,102,118,Car,45,23,52,0,0,0,0,0,Medium
Rural Roads,Wet Road,48,40,Truck,24,92,95,0,0,0,0,1,Medium
Service Roads,Dry Road,48,35,Bus,44,87,41,1,1,0,0,1,High
Expressway,Damaged Road,57,102,Bike,22,64,44,1,1,0,0,0,Medium
Rural Roads,Damaged Road,53,54,Car,30,39,62,1,0,0,0,1,Medium
State Highway,Dry Road,58,67,Car,22,100,91,1,0,1,0,0,Low
Service Roads,Damaged Road,32,33,Car,30,83,72,0,0,0,0,0,High
Rural Roads,Dry Road,41,68,Car,20,42,62,1,0,1,0,1,Medium
State Highway,Wet Road,74,87,Car,35,100,91,0,1,0,0,0,Medium
State Highway,Damaged Road,74,86,Car,45,44,44,1,0,0,0,1,High
National Highway,Dry Road,78,86,Car,30,100,77,1,0,0,0,0,Low
Expressway,Damaged Road,95,97,Car,34,61,63,0,0,0,0,0,Medium
State Highway,Wet Road,54,63,Car,40,41,77,0,0,0,0,0,Medium
Urban Roads,Dry Road,74,58,Bike,45,82,76,0,1,1,0,1,Low
Urban Roads,Dry Road,22,46,Car,33,70,70,1,0,0,0,1,Low
National Highway,Dry Road,98,97,Bus,24,47,68,1,0,0,1,0,High
Service Roads,Dry Road,45,42,Truck,41,62,27,0,0,1,0,0,High
Expressway,Wet Road,109,110,Car,36,90,90,1,0,0,0,0,High
Service Roads,Dry Road,20,22,Truck,44,70,89,0,1,1,0,0,Low
National Highway,Damaged Road,84,82,Bike,38,56,93,0,0,0,1,0,High
State Highway,Wet Road,79,87,Car,37,73,67,0,0,0,0,0,Medium
State Highway,Damaged Road,75,77,Car,22,40,86,0,0,0,0,1,Medium
Service Roads,Wet Road,20,20,Car,16,72,51,1,0,0,0,0,Medium
State Highway,Dry Road,68,65,Car,34,73,85,0,0,0,0,0,Medium
Expressway,Wet Road,101,117,Car,40,76,88,0,1,0,0,0,Medium
State Highway,Wet Road,69,60,Car,35,66,67,0,0,0,0,0,High
State Highway,Wet Road,73,72,Car,36,49,10,0,0,0,0,0,Medium
Service Roads,Dry Road,20,22,Bike,33,55,100,0,0,0,0,1,Low
Expressway,Dry Road,110,99,Truck,10,53,53,0,0,0,0,1,Medium
Rural Roads,Wet Road,58,65,Bike,28,77,56,1,0,0,0,0,Medium
Service Roads,Dry Road,41,44,Car,40,43,84,1,1,0,0,0,Low
Urban Roads,Wet Road,54,59,Bike,27,84,87,0,0,1,0,0,Low
National Highway,Wet Road,58,70,Bus,38,94,66,0,0,1,0,0,Medium
Expressway,Dry Road,86,95,Car,33,49,100,0,0,0,0,0,Medium
State Highway,Wet Road,83,90,Bike,31,77,81,0,1,1,0,0,Medium
Expressway,Damaged Road,97,120,Car,27,72,57,1,1,0,0,0,Medium
National Highway,Dry Road,83,84,Bike,26,70,42,0,0,0,0,1,Low
State Highway,Dry Road,37,69,Bike,20,38,67,0,0,0,0,0,Low
Urban Roads,Dry Road,33,32,Bike,29,52,66,0,1,1,0,0,Medium
National Highway,Dry Road,65,92,Bike,28,78,80,0,1,0,0,0,Medium
National Highway,Damaged Road,78,82,Bike,31,34,42,1,0,0,0,0,High
Rural Roads,Dry Road,42,43,Bike,31,73,100,0,0,0,0,1,Low
National Highway,Dry Road,55,77,Car,20,80,61,0,0,0,0,0,Medium
Urban Roads,Damaged Road,47,59,Bike,19,56,63,0,0,1,0,0,Low
Rural Roads,Dry Road,62,51,Bike,31,41,23,0,0,1,1,1,Medium
Expressway,Damaged Road,103,114,Car,31,92,55,0,1,0,0,0,Medium
Service Roads,Wet Road,42,41,Car,17,72,65,1,1,0,0,1,Medium
Urban Roads,Dry Road,24,52,Car,19,73,67,0,0,1,0,0,Low
Rural Roads,Wet Road,41,66,Car,26,85,77,0,0,1,0,0,Low
Expressway,Dry Road,102,99,Truck,24,56,61,0,0,1,0,0,Medium
Urban Roads,Dry Road,46,33,Car,38,100,67,0,1,0,0,0,Medium
Expressway,Wet Road,80,97,Car,43,39,70,1,0,0,0,0,Low
Service Roads,Dry Road,39,46,Car,45,75,84,0,0,1,1,0,Low
State Highway,Wet Road,64,63,Car,32,51,67,0,0,0,0,0,High
National Highway,Damaged Road,81,84,Bike,26,48,84,0,0,0,0,0,Medium
Expressway,Dry Road,119,111,Car,25,55,96,0,0,0,1,1,Medium
Urban Roads,Dry Road,72,52,Car,17,95,47,0,1,0,0,1,Medium
National Highway,Dry Road,69,72,Truck,38,59,63,1,1,0,0,0,High
Expressway,Dry Road,111,119,Bus,45,57,84,0,0,0,0,1,Low
Urban Roads,Wet Road,20,59,Car,20,76,41,0,0,1,0,0,Low
State Highway,Dry Road,51,76,Car,30,55,78,1,0,0,0,0,Low
National Highway,Damaged Road,81,81,Car,20,100,53,0,0,0,0,1,Medium
Rural Roads,Wet Road,52,62,Bus,30,88,73,1,0,0,0,0,Medium
Urban Roads,Dry Road,56,52,Car,24,40,61,0,0,1,1,0,High
National Highway,Dry Road,62,99,Car,11,34,76,1,0,1,1,1,Medium
Urban Roads,Dry Road,20,35,Car,31,80,84,0,0,0,1,1,Medium
Service Roads,Dry Road,29,36,Bike,35,88,100,0,0,0,0,0,Low
National Highway,Dry Road,66,95,Bike,17,51,37,0,0,0,1,1,High
Urban Roads,Wet Road,20,30,Bike,36,24,78,0,1,0,0,1,Low
Expressway,Dry Road,103,115,Truck,23,88,35,0,0,0,0,1,High
Rural Roads,Dry Road,61,68,Bus,33,54,77,0,1,1,0,1,Low
State Highway,Damaged Road,57,63,Bike,24,60,60,0,1,0,0,0,High
Service Roads,Dry Road,56,32,Bike,22,46,68,0,1,0,0,0,Medium
Rural Roads,Wet Road,35,40,Car,31,79,58,0,0,1,0,1,Low
State Highway,Dry Road,69,82,Bike,24,64,67,0,1,0,0,1,Low
Rural Roads,Dry Road,26,40,Car,15,36,87,0,0,0,0,0,Low
State Highway,Wet Road,69,78,Bike,23,62,90,0,0,0,0,0,Medium
Rural Roads,Dry Road,45,53,Car,35,41,50,0,0,0,0,1,Low
National Highway,Dry Road,57,83,Car,39,39,93,0,0,0,0,0,Low
Urban Roads,Dry Road,47,39,Bike,18,49,78,0,0,1,0,0,Medium
Service Roads,Wet Road,20,24,Bike,19,81,80,0,0,0,0,0,Low
Expressway,Dry Road,95,116,Car,25,25,74,0,1,0,0,0,Low
Service Roads,Dry Road,20,21,Bike,41,76,100,0,1,0,0,0,Low
National Highway,Dry Road,97,90,Bike,24,81,25,0,1,0,0,0,Low
Service Roads,Dry Road,39,39,Car,18,100,64,0,1,0,0,0,Medium
Expressway,Dry Road,88,97,Bike,11,52,75,0,1,0,0,0,Low
Expressway,Damaged Road,88,106,Bike,24,63,82,1,0,0,0,1,Medium
